Up nPatterns: 298 nProjects: 476
'\n'	12,36,110,171,225,232,283,287,306,322,356,381,412,464,467,505,518,534,554,560,566,602,662,757,759,787,796,852,961,993,1007,1015,1032,1054,1076,1087,1122,1143,1152,1153,1198,1221,1225,1248,1317,1331,1338,1353,1381,1404,1425,1466,1488,1501,1508,1509,1511,1580
'\\s*,\\s*'	82,89,113,241,251,302,323,355,422,433,526,533,796,849,866,873,878,927,990,1003,1004,1007,1012,1015,1025,1032,1046,1054,1074,1075,1086,1158,1170,1184,1198,1199,1202,1247,1248,1249,1263,1290,1300,1322,1415,1443,1469,1488,1491,1495,1517,1555,1569,1580,1594,1634,1642
'[^:]*:'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'\\(\\*'	271,601,751,762,791,848,876,937,1040,1041,1103,1105,1106,1116,1131,1167,1206,1236,1237,1306,1333,1334,1356,1360,1390,1400,1467,1514,1556,1562,1568,1581,1599,1610,1622,1624,1627,1643
'-'	82,89,190,247,302,323,355,391,422,552,591,606,819,849,866,872,878,919,1004,1007,1012,1021,1074,1075,1086,1158,1184,1223,1285,1395,1420,1468,1495,1517,1580,1634
'-'	12,241,287,412,503,562,602,609,656,689,715,759,852,866,874,906,961,1054,1076,1087,1180,1221,1249,1297,1300,1317,1331,1404,1488,1501,1509,1511,1580
':'	12,225,241,341,412,480,560,583,753,759,822,826,852,866,874,942,946,961,990,1003,1025,1087,1221,1225,1249,1317,1381,1443,1501,1511,1571
','	55,173,196,225,232,241,262,267,268,306,322,464,467,505,534,560,561,874,946,972,1007,1015,1032,1044,1076,1249,1317,1404,1466,1501
'/'	82,89,141,145,147,181,186,492,560,566,628,826,990,1004,1008,1028,1039,1074,1075,1076,1184,1247,1248,1317,1326,1364,1478,1495,1501,1523
'>'	12,43,55,147,181,287,330,381,407,412,473,510,602,759,774,852,961,1054,1076,1087,1221,1244,1248,1267,1509,1511,1580
'.'	12,152,412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1087,1172,1221,1266,1296,1315,1428,1464,1511,1569,1580
'//.*'	12,306,322,412,464,467,505,534,592,636,759,852,961,1007,1054,1087,1125,1221,1246,1301,1404,1466,1511,1522,1540,1580
'[ \\(\\)<>@,;:\\\\"/\\[\\]\\?=]'	12,82,89,287,323,355,412,422,602,759,852,866,961,1004,1054,1074,1075,1087,1184,1221,1495,1509,1511,1517,1544,1580
