Ui nPatterns: 8 nProjects: 140
'[a-zA-Z][-_.:a-zA-Z0-9]*'	22,38,55,60,64,65,72,94,126,147,181,190,220,225,287,325,340,454,472,510,527,582,602,622,666,683,691,707,774,790,881,915,927,928,1003,1068,1122,1150,1169,1199,1247,1269,1469,1498,1509,1557,1597
'^[a-f0-9]{40}$'	9,21,22,24,25,28,35,126,127,162,272,323,430,672,682,688,717,723,857,871,979,992,1104,1220,1229,1257,1386,1415,1458,1469,1536,1580
'^[a-zA-Z0-9_]+$'	12,168,225,251,256,287,381,412,422,602,635,662,689,757,759,800,852,961,1007,1015,1032,1033,1054,1087,1143,1205,1221,1509,1511,1517
'^\\S+@[a-zA-Z0-9._-]+\\.[a-zA-Z0-9._-]+$'	82,89,96,129,251,252,302,323,355,422,487,639,761,866,1004,1074,1075,1087,1104,1184,1257,1386,1415,1469,1495,1517,1536,1555,1580
'&(#\\d+|#x[0-9a-fA-F]+|\\w+);'	22,38,55,65,72,94,126,225,273,340,472,527,683,691,707,790,1122,1150,1169,1199,1269,1300,1469,1498,1557
'&(#?[xX]?(?:[0-9a-fA-F]+|\\w{1,8}));'	31,287,302,323,355,381,422,476,602,732,849,866,878,1004,1012,1054,1086,1087,1158,1184,1495,1509,1517,1580,1634
'(((?<=[a-z])[A-Z])|([A-Z](?![A-Z]|$)))'	82,89,302,323,355,422,716,849,866,878,936,1004,1012,1074,1075,1086,1158,1184,1223,1420,1495,1517,1576,1580,1634
'^(?P<prefix>[a-z]+)://(?P<suffix>.*)$'	302,323,355,391,422,682,849,866,872,878,884,1012,1054,1086,1087,1158,1263,1495,1517,1580,1594,1634
