Us nPatterns: 77 nProjects: 376
'(\\s)'	12,412,759,852,943,1087,1221,1511
'\r\n|\r'	552,606,719,1158,1223,1247,1420
'([\\t ]+)'	173,552,606,800,1223,1420,1469
'(\\s*\\n\\s*)'	173,552,606,800,1223,1420,1469
'\n\n'	526,1007,1015,1032,1046,1642
'(\\t+)'	162,251,619,1087,1267
'[\\s]+'	49,200,317,391,872
'(\\(\\s|\\s\\))'	322,467,505,534,1466
'\\t+'	945,1190,1248,1488
'[ ]+'	126,538,1247,1288
'[ \\t]'	826,828,1128,1591
'\n\\s*'	873,1463,1580,1592
'\\n\\n+'	1179,1454,1535,1621
'[\\n\\t]'	560,1415,1469,1580
'  '	122,1248,1488
'[\\s]'	232,959,1276
'[\\t]'	304,1025,1322
'\r|\n'	9,16,1247
'[\r\n]'	43,826,1386
'[ ]+\t'	61,166,410
'\\\\*\\n'	1007,1015,1032
'(?<!\\\\)\\s+'	147,181,1087
'(?<![\\\\])(\\s)'	119,225,976
'[\\0\\n\\r\\032\\\'\\"\\\\]'	779,1247,1407
'\\s.*'	560,1488
'[-\\s]'	332,689
'()(  +)'	1050,1350
'\\n{3,}'	1267,1618
'[_\\s]+'	959,1276
'(?m)\\s+'	1248,1258
'\n[ \t]*'	103,130
'( +|\\n)'	757,1087
'\r|\n|\r\n'	305,1505
'[\\r\\n\\t]'	305,1505
'[\\t\\b\\r\\f#]'	171,1381
'(\r\n|\r|\n)\\Z'	1054,1087
'(\\r\\n|\\n|\\r)'	636,1125
'(\r\n)|\r|(\n\r)'	602,1054
